YEAR;MONTH;DAY;HOUR;MINUTES;SECONDS;LONGITUDE;LATITUDE;DEPTH;MAG_TYPE;MAG;EVENT_NAME
2017; 8;19; 6;30;10.00; 146.6115;   6.1617; 23.7;mb   ;4.9;E. CAROLINE ISLANDS, MICRONESIA
2017; 8;19; 5;42;17.00; -90.6930;  14.6020;198.4;mb   ;4.4;GUATEMALA
2017; 8;19; 3;22;31.00; -78.8514; -10.6409; 56.3;mb   ;4.6;NEAR COAST OF PERU
2017; 8;19; 3;16; 3.00;  -2.0467;  81.1734; 10.0;mb   ;4.7;NORTH OF SVALBARD
2017; 8;19; 2; 0;52.00;-178.8503; -17.9654;538.6;Mww  ;6.4;FIJI ISLANDS REGION
2017; 8;19; 0;40;45.00; 125.6993;  -0.2597; 61.6;mb   ;4.3;SOUTHERN MOLUCCA SEA
2017; 8;18;21; 0;49.00; 128.0446;  -6.2530; 12.7;Mww  ;5.5;BANDA SEA
2017; 8;18;20;31;50.00; -76.6367; -45.5227; 10.0;Mww  ;5.1;OFF COAST OF SOUTHERN CHILE
2017; 8;18;20;13; 0.00; -66.3118;  18.9466; 42.0;Mww  ;4.9;PUERTO RICO REGION
2017; 8;18;19;53;11.00;  71.1992;  36.5768;233.5;mb   ;4.2;AFGHANISTAN-TAJIKISTAN BORD REG.
2017; 8;18;18;52;24.00;-176.1449; -29.4660; 10.0;mb   ;5.2;KERMADEC ISLANDS REGION
2017; 8;18;15;35;55.00; -14.5985;  -1.3311; 10.0;mb   ;4.8;NORTH OF ASCENSION ISLAND
2017; 8;18;15;16;57.00; 179.6549; -24.3496;508.9;mb   ;4.5;SOUTH OF FIJI ISLANDS
2017; 8;18;14;36;28.00; -71.1444; -14.7948;158.2;mb   ;4.6;CENTRAL PERU
2017; 8;18;14;35;48.00; 166.7652; -12.6244;134.0;mb   ;4.3;SANTA CRUZ ISLANDS
2017; 8;18;14;10;48.00;  27.5525;  36.8654;  7.1;mb   ;4.2;DODECANESE ISLANDS, GREECE
2017; 8;18;12;54;58.00; 153.0211;  -5.5788; 35.0;mb   ;4.5;NEW IRELAND REGION, P.N.G.
2017; 8;18;12;47;33.00;  27.5740;  36.8911; 10.0;mb   ;4.2;DODECANESE ISLANDS, GREECE
2017; 8;18;11; 1;22.00;-175.9385; -20.2043;238.2;mb   ;4.4;TONGA ISLANDS
2017; 8;18;10;53;51.00; 143.8693;  26.0204; 10.0;mb   ;4.6;BONIN ISLANDS, JAPAN REGION
2017; 8;18;10;18;44.00;  46.0916;  31.7612; 10.0;mb   ;4.7;IRAQ
2017; 8;18; 8;10; 1.00;  73.3064;  38.4622;143.2;mb   ;4.2;TAJIKISTAN-XINJIANG BORDER REG.
2017; 8;18; 6;20;32.00; 166.3510;  55.5337; 10.0;mb   ;4.8;KOMANDORSKIYE OSTROVA REGION
2017; 8;18; 5;15;15.00;-100.2634;  17.0418; 27.1;mb   ;5.1;GUERRERO, MEXICO
2017; 8;18; 4;44;36.00;-136.3938;  58.9911;  3.8;mb   ;4.0;SOUTHEASTERN ALASKA
2017; 8;18; 4;30; 2.00;  37.5693;  37.5965;  5.9;mb   ;4.3;TURKEY
2017; 8;18; 3;46;52.00;  24.0404;  34.8510; 41.8;mb   ;4.6;CRETE, GREECE
2017; 8;18; 3;10; 5.00; 142.1441;  38.5818; 46.7;mb   ;4.6;NEAR EAST COAST OF HONSHU, JAPAN
2017; 8;18; 2;59;21.00; -13.6308;  -1.0845; 10.0;Mww  ;6.6;NORTH OF ASCENSION ISLAND
2017; 8;18; 1;17; 1.00; 178.8344;  51.2688; 45.3;mb   ;4.8;RAT ISLANDS, ALEUTIAN ISLANDS
2017; 8;18; 0;53;54.00; -71.2755; -15.4188;150.5;mb   ;4.4;SOUTHERN PERU
2017; 8;17; 8;52;25.00; -12.4697;  -5.6154; 10.0;mb   ;5.2;ASCENSION ISLAND REGION
2017; 8;17; 7;38;33.00;  94.5263;  25.8288; 61.1;mb   ;4.6;MYANMAR-INDIA BORDER REGION
2017; 8;17; 7;37;25.00; 120.7818;  -1.3920; 66.4;mb   ;4.3;SULAWESI, INDONESIA
2017; 8;17; 6;49;30.00; 127.9294;  -6.3102;366.1;mb   ;4.4;BANDA SEA
2017; 8;17; 6;44;56.00;  -9.0904;  39.0316; 10.0;mb   ;4.2;PORTUGAL
2017; 8;17; 0; 8; 6.00; 136.8039;  -3.9459; 52.1;mb   ;4.2;IRIAN JAYA, INDONESIA
2017; 8;16;23;49;22.00; 122.2156;  80.3453; 10.0;mb   ;4.7;EAST OF SEVERNAYA ZEMLYA
2017; 8;16;22;35;52.00;-177.5511; -20.2501;491.0;mb   ;4.5;FIJI ISLANDS REGION
2017; 8;16;22;31;19.00; 138.1590;  -4.3992; 10.0;mb   ;4.2;IRIAN JAYA, INDONESIA
2017; 8;16;22;21;30.00;-176.5184; -29.7645; 10.0;mb   ;4.3;KERMADEC ISLANDS REGION
2017; 8;16;19;46;59.00; -13.4807; -24.9606; 10.0;mb   ;5.2;SOUTHERN MID-ATLANTIC RIDGE
